2026-08-03 17:26:53,628 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-08-03 17:26:53,629 | INFO | hr_assistant.vector_store | Checking if FAISS index exists at 'data\faiss_index'
2026-08-03 17:26:53,629 | INFO | hr_assistant.pipeline | Vector store already exists on disk, reusing it
2026-08-03 17:26:53,630 | INFO | hr_assistant.vector_store | Loading FAISS index from 'data\faiss_index'
2026-08-03 17:26:53,630 | INFO | hr_assistant.embeddings | Initializing embeddings model 'jina-embeddings-v2-base-en'
2026-08-03 17:26:53,632 | INFO | faiss.loader | Loading faiss with AVX2 support.
2026-08-03 17:26:53,651 | INFO | faiss.loader | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-08-03 17:26:53,652 | INFO | faiss.loader | Loading faiss.
2026-08-03 17:26:53,677 | INFO | faiss.loader | Successfully loaded faiss.
2026-08-03 17:26:53,685 | INFO | hr_assistant.vector_store | Creating retriever with top_k=3
2026-08-03 17:26:53,687 | INFO | hr_assistant.llm | Initializing LLM model 'openai/gpt-oss-20b'
2026-08-03 17:26:53,785 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-08-03 17:26:53,791 | INFO | hr_assistant.agent | HR agent ready
2026-08-03 17:26:53,791 | INFO | hr_assistant.pipeline | HR assistant is ready to take questions
2026-08-03 17:27:10,077 | INFO | __main__ | === Streamlit run: new question received ===
2026-08-03 17:27:10,085 | INFO | hr_assistant.pipeline | User question: Hi, how are you?
2026-08-03 17:27:11,199 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 17:27:11,236 | INFO | hr_assistant.pipeline | Final answer: Hello! I’m doing great—thanks for asking. How can I help you today?
